variable,mean,sd,ess_bulk,rhat,CI_2_5,CI_5,CI_10,CI_25,CI_75,CI_90,CI_95,CI_97_5,p_positive,model
"r_Study[Madsen.(2020),Intercept]",0.4410801396533935,0.46557997034227455,7101.51694194952,1.0000703216094156,-0.369381425,-0.23435654999999997,-0.10890809999999998,0.090422975,0.756335,1.063831,1.2478215,1.4049319999999972,0.82435,dHe_27
"r_Study[Miller.(2020),Intercept]",-0.606390928078535,0.501553875847496,5189.413508942558,1.0005797760300243,-1.62048325,-1.4568615,-1.265005,-0.95985875,-0.215377,0.015522260000000005,0.12781499999999973,0.24739229999999807,0.1124,dHe_27
"r_Study[Mussman.(2016),Intercept]",0.218331456818415,0.41023871485415364,14167.168102173382,1.000025943650747,-0.5548499,-0.4186203,-0.26507329999999996,-0.043445700000000004,0.48041075,0.7499081000000003,0.9211558499999998,1.074630749999999,0.70045,dHe_27
"r_Study[Olson.(2012),Intercept]",-0.1045083077511675,0.33842596490184934,20117.153573428674,1.0000702763559395,-0.8001650499999999,-0.67512515,-0.5357948,-0.32032975,0.104981,0.3063815000000002,0.4384127999999999,0.5630124749999998,0.38015,dHe_27
"r_Study[Poirier.(2019),Intercept]",-0.1884550232853705,0.41115827789962756,16803.834400066855,1.0002321205543974,-1.04033325,-0.8931288000000001,-0.722406,-0.44840525,0.07071205,0.29690410000000034,0.4514052999999999,0.5958061249999986,0.32715,dHe_27
"r_Study[Quinn.(2019),Intercept]",-0.0627144275789,0.4040633976780192,26794.815804887912,1.0002324337603106,-0.8836511499999999,-0.7373537,-0.5703641,-0.31328475,0.1789315,0.43278900000000026,0.6024666999999999,0.7562795999999998,0.4324,dHe_27
"r_Study[Ranke.(2020),Intercept]",-0.342210696305722,0.44001077297054975,8343.827184930322,1.00032269324358,-1.2648625,-1.1031525000000002,-0.9270058,-0.63433375,-0.026896375,0.17785050000000016,0.3191284999999997,0.44724449999999966,0.2225,dHe_27
"r_Study[Robinson.(2017),Intercept]",0.17201025082327054,0.29482887929786344,14600.041663393224,1.0000254161097086,-0.3992043,-0.29521129999999995,-0.184162,-0.0200305,0.363477,0.5516868000000001,0.6720235999999999,0.7673972499999996,0.7207,dHe_27
"r_Study[Vila.(2002),Intercept]",0.63632680671886,0.5175746772269881,4802.221861300896,1.0002260573765442,-0.230524075,-0.10984109999999998,-0.006624913999999999,0.2292105,0.9976417499999999,1.325422,1.5163674999999999,1.6871252499999994,0.89375,dHe_27
"r_Study[Weeks.(2017),Intercept]",-0.027269258264439,0.44935669678950296,21287.110727998843,1.0002301048074367,-0.91488445,-0.7591971,-0.5855914,-0.3040685,0.23631775000000002,0.5356167000000001,0.7357400499999995,0.9155126499999998,0.4691,dHe_27
